0.95, 4, 4, 4, 4, 4, 1, 14, 900, 579, 2, 131, 300, 210, 3, 53, 300, 328, 3, 59, 200, 77, 1, 9, 200, 54, 10, 483, 800, 585, 0, 35, 200, 92, 2, 33, 300, 740, 1, 31, 100, -1, 6, 122, 400, -1, 3, 98, 500, -1, 2, 22, 200, -1, 7, 207, 500, -1, 1, 25, 300, -1, 1, 19, 100, -1, 3, 69, 300, -1
0.95, 4, 4, 4, 4, 4, 0, 79, 200, 95, 2, 87, 300, 184, 0, 16, 300, 416, 3, 61, 300, 275, 7, 114, 400, 230, 0, 104, 600, 401, 6, 183, 700, 716, 4, 162, 800, 716, 4, 104, 700, -1, 4, 99, 600, -1, 0, 60, 100, -1, 0, 10, 300, -1, 1, 12, 100, -1, 4, 112, 300, -1, 1, 58, 200, -1, 1, 29, 200, -1
0.95, 4, 4, 4, 4, 4, 5, 88, 400, 238, 1, 23, 100, 65, 3, 53, 200, 121, 2, 39, 200, 238, 2, 46, 200, -1, 4, 104, 1000, -1, 1, 43, 100, -1, 2, 137, 800, -1, 1, 32, 200, -1, 9, 274, 400, -1, 0, 12, 400, -1, 2, 26, 500, -1, 4, 92, 700, -1, 2, 61, 100, -1, 1, 11, 100, -1, 1, 15, 200, -1
0.95, 4, 4, 4, 4, 4, 8, 190, 900, 273, 1, 16, 100, 43, 2, 24, 100, 75, 1, 31, 100, 402, 1, 9, 300, -1, 0, 30, 200, -1, 1, 15, 300, -1, 0, 145, 200, -1, 1, 23, 100, -1, 5, 78, 200, -1, 7, 201, 900, -1, 1, 14, 200, -1, 13, 237, 600, -1, 5, 224, 600, -1, 1, 16, 500, -1, 1, 12, 100, -1
0.95, 4, 4, 4, 4, 4, 8, 189, 1000, 592, 0, 321, 500, 343, 1, 21, 800, 965, 3, 49, 600, 395, 1, 25, 100, 54, 1, 14, 300, 290, 15, 336, 900, 641, 4, 177, 700, 734, 1, 15, 100, -1, 10, 187, 400, -1, 7, 196, 900, -1, 2, 57, 700, -1, 1, 14, 400, -1, 1, 48, 100, -1, 1, 59, 200, -1, 0, 66, 500, -1
0.95, 4, 4, 4, 4, 4, 1, 16, 100, 31, 1, 13, 100, 85, 3, 51, 300, 211, 2, 93, 200, 180, 0, 17, 300, -1, 0, 76, 300, -1, 15, 279, 600, -1, 0, 16, 100, -1, 1, 20, 300, -1, 2, 142, 400, -1, 2, 66, 300, -1, 6, 173, 600, -1, 2, 36, 100, -1, 2, 47, 700, -1, 6, 104, 700, -1, 2, 33, 100, -1
0.95, 4, 4, 4, 4, 4, 0, 39, 300, 188, 4, 159, 700, 351, 5, 144, 700, 692, 16, 286, 800, 692, 0, 41, 200, 112, 2, 24, 100, 71, 5, 153, 400, 305, 1, 19, 200, 394, 2, 73, 200, -1, 1, 11, 100, -1, 2, 25, 300, -1, 0, 38, 100, -1, 2, 34, 100, -1, 1, 24, 100, -1, 3, 109, 400, -1, 2, 37, 600, -1
0.95, 4, 4, 4, 4, 4, 6, 122, 300, 190, 2, 35, 100, 47, 0, 10, 100, 62, 1, 14, 200, 284, 4, 152, 400, -1, 2, 35, 100, -1, 1, 49, 300, -1, 1, 14, 500, -1, 1, 13, 100, -1, 11, 193, 900, -1, 2, 51, 100, -1, 0, 49, 700, -1, 5, 76, 400, -1, 1, 9, 100, -1, 1, 12, 100, -1, 2, 104, 200, -1
0.95, 4, 4, 4, 4, 4, 1, 87, 200, 149, 1, 16, 200, 193, 1, 21, 100, 39, 1, 21, 100, 61, 1, 39, 100, 68, 0, 191, 800, 442, 2, 22, 300, 210, 2, 94, 400, 552, 5, 82, 400, -1, 1, 12, 300, -1, 8, 176, 300, -1, 1, 16, 200, -1, 2, 45, 500, -1, 7, 222, 1000, -1, 1, 69, 200, -1, 2, 27, 100, -1
0.95, 4, 4, 4, 4, 4, 1, 29, 600, 614, 0, 39, 300, 69, 0, 342, 600, 493, 2, 80, 400, 151, 2, 58, 200, 94, 2, 143, 600, 611, 11, 207, 700, 518, 2, 29, 300, 300, 0, 20, 100, 53, 1, 11, 1000, 1799, 3, 85, 400, 272, 3, 102, 200, 160, 0, 32, 300, -1, 5, 156, 400, -1, 3, 45, 200, -1, 0, 165, 800, -1
